,Title,data
34,Cómo descargar títulos para ver offline,"Puedes ver series y películas offline cuando quieras, solo tienes que descargarlas de la app de Netflix. A continuación, puedes obtener más información sobre cómo buscar, descargar y ver series y películas descargadas.
Para descargar series o películas, deberás tener uno de estos dispositivos con la versión más reciente de la app de Netflix instalada:
Teléfono o tablet con Android
iPhone o iPad
Tablet Amazon Fire
Google Chromebook (con Google Play Store instalada)
NOTA:Algunas versiones más antiguas del sistema operativo de estos dispositivos podrían no admitir descargas. Asegúrate de que el dispositivo tenga instaladas las actualizaciones más recientes.
Buscar una serie o película
Busca cualquier serie o película y fíjate si aparece el ícono Descargas para comprobar si se puede descargar, o bien filtra por el contenido disponible para descargar.
NOTA:No todas las series y películas están disponibles para descargar. Para conocer los motivos, consulta este artículo para obtener más información.
Descargar una serie o película
Abre la app de Netflix.
Explora todas las series y películas disponibles para descargar:
Dispositivos iPhone, iPad, Android o Fire: toca Descargas > Ver qué puedes descargar.
Chromebook: haz clic en Descargas > Buscar más para descargar.
Selecciona una serie o película que quieras descargar en tu dispositivo.
En el caso de las películas, selecciona Descargar.
En el caso de las series, selecciona el botón para descargar situado junto al episodio que quieras descargar.
NOTA:Los dispositivos con Android y las tablets Fire también incluyen el botón Descargar temporada.
Para ahorrar datos, te recomendamos que te conectes a una red wifi para hacer la descarga.
Puedes tener hasta 100 descargas activas a la vez por dispositivo en la cantidad de dispositivos incluidos en tu plan de Netflix.
Si cancelas tu cuenta, se borrarán las descargas almacenadas en tu dispositivo. Si reinicias tu membresía, deberás volver a descargar el contenido.
Ver series y películas descargadas
Para acceder y ver las descargas offline, sigue estos pasos.
Abre la app de Netflix.
Selecciona Descargas.
Busca la descarga que deseas ver y selecciona Reproducir.
NOTA:Al usar un perfil de Niños, es posible que las series y películas descargadas que tengan clasificaciones por edad más altas no estén disponibles para ver offline.
Las series y películas descargadas están disponibles en el dispositivo en el que se las descargó y se pueden ver con cualquiera de tus perfiles de Netflix.
Las descargas vencen después de un plazo, y para ciertos contenidos descargables hay restricciones en cuanto a la cantidad de veces que se los puede descargar en un año. Cuando hayas visto los títulos descargados, elimínalos de tu dispositivo para liberar espacio.
Más información sobre las descargas
Cómo usar Autodescargas
Cómo usar ""Descargar episodio siguiente""
Cómo usar Descargas para ti
Cómo cambiar la calidad de video de una descarga
Cómo almacenar descargas en una tarjeta SD
Solucionar problemas comunes con las descargas
No se puede descargar una serie o película
¿Por qué una película o serie no está disponible para descargar?
El contenido que descargué muestra el mensaje ""Caducado""."
35,Cómo buscar y navegar en Netflix,"Para buscar series y películas, localiza el ícono Búsqueda en la app de Netflix e ingresa tu término de búsqueda.
NOTA:Para buscar películas y series por subtítulos e idiomas específicos, visita Explorar por idiomas en la web.
Buscar
Términos de búsqueda de ejemplo
Calidad de audio o video
Atmos, UHD
Géneros
Comedia, Drama
Idioma
Películas en español, series en francés
Nombres
Jennifer Aniston, Álvaro Morte
Título de la serie o película
Gambito de dama, La casa de papel
Navegación
La página de inicio muestra filas de series y películas que creemos que te encantarán. Puedes refinar estas sugerencias seleccionando Series o Películas en el menú. Puedes limitar aún más los criterios por Géneros o Categorías. El nombre de esta selección (y sus valores) podría variar entre dispositivos.
Para encontrar series y películas lanzadas recientemente, consulta Novedades populares, Más recientes o Nuevo y popular del menú (el nombre de la sección varía en función de tu dispositivo).
NOTA:Si no encuentras una serie o película que estabas buscando, verifica la clasificación por edad y las preferencias de idioma del perfil, ya que estas pueden afectar lo que ves. Si aún no encuentras lo que buscas, puedes sugerir series o películas."
36,Cómo ocultar títulos del historial de visualización,"Cuando ocultas títulos de tu historial de visualización:
No aparecerán en Netflix como una serie o película que viste.
Tampoco se utilizarán para ofrecerte recomendaciones, a menos que los vuelvas a ver.
Se quitarán de la fila Continuar viendo.
Para ocultar títulos de tu historial de visualización:
Desde un navegador web, accede a la página Cuenta.
Selecciona Perfiles y luego elige un perfil.
Abre la Actividad de visualización para ese perfil.
En la página Visualización, haz clic en el ícono para ocultar situado junto al episodio o título que deseas ocultar. Si ocultas un episodio, aparecerá la opción para ocultar toda la serie.
Para ocultar todo el historial de visualización, selecciona la opción Ocultar todo ubicada en la parte inferior de la página y confirma.
La eliminación de un título ocultado de todos tus dispositivos podría demorar hasta 24 horas en completarse. Los títulos no pueden ocultarse si se accede a la página Actividad de visualización desde un perfil de niños de Netflix.
Consulta la página de ayuda de Privacidad y seguridad para obtener información sobre más temas."
37,"Cómo quitar títulos de la fila ""Continuar viendo""","Puedes quitar series o películas de la fila Continuar viendo cuando ves contenido en los siguientes dispositivos:
Computadoras
Televisores
Dispositivos con Android con la versión más reciente de la app de Netflix
iPhone, iPad y iPod touch
Computadoras
Televisores
Dispositivos móviles
NOTA:La función de quitar títulos de la fila Continuar viendo solo está disponible en la versión más reciente de la app de Netflix. Para las versiones más antiguas de la app que no cuenten con esta función, puedes quitar títulos de tu Actividad de visualización, lo que también los quitará de Continuar viendo."
38,Controles parentales en Netflix,"Para elegir los tipos de series, películas y juegos que tus niños pueden ver o jugar en Netflix, puedes administrar sus perfiles de forma individual o crear un perfil con la experiencia de Netflix para niños.
NOTA:Juegos Netflix no se muestra en perfiles que usan la experiencia de Netflix para niños.
Comienza a utilizar los controles parentales:
Crear un perfil para niños
Establecer las clasificaciones por edad o bloquear títulos
Bloquear tu perfil u otros perfiles en tu cuenta
Solicitar un PIN para agregar un nuevo perfil
Activar o desactivar la reproducción automática de avances
Ajustar la configuración de reproducción automática para series
Acceder al historial de contenido visto de un perfil
Artículos relacionados:
Clasificaciones por edad para series y películas en Netflix
Clasificaciones por edad para juegos en Netflix
Administración del PIN de nivel de cuenta
Resolución de problemas
¿Por qué no puedo utilizar la experiencia de Netflix para niños?
No puedo cambiar los límites de clasificación por edad en la experiencia de Netflix para niños
No se me pide que ingrese un PIN de bloqueo de perfil"
39,Cómo agregar o quitar un PIN de perfil,"Para restringir el acceso a un perfil específico de tu cuenta, puedes protegerla mediante un PIN de bloqueo de perfil.. Si ya accediste a un perfil, y se te pide ingresar un PIN para ver una serie o película, busca más información sobre los PIN de nivel de cuenta.
Para agregar un PIN a un perfil específico:
NOTA:Ciertos dispositivos no pueden actualizarse para que sean compatibles con algunas funciones nuevas como el PIN de bloqueo de perfil. Las cuentas de miembro extra solo pueden tener un perfil y no pueden crear perfiles adicionales.
Teléfono o tablet con Android, iPhone o iPad
Abre la app de Netflix.
En el área inferior derecha, toca Mi Netflix.
En el área superior derecha, toca el ícono Menú.
Toca Administrar perfiles.
Selecciona el perfil que quieres editar.
Toca Bloqueo de perfil para agregar o editar un PIN.
Toca Crear un bloqueo de perfil e ingresa la contraseña de tu cuenta de Netflix para hacer cambios.
Ingresa 4 números para crear tu PIN de Bloqueo de perfil. Salvo que estés utilizando un dispositivo no admitido, tendrás que ingresar este PIN para abrir el perfil o reproducir los títulos que se hayan descargado desde allí.
Para deshabilitar el uso de PIN, toca Eliminar bloqueo de perfil.
Navegador web
En un navegador, ve a la página Cuenta.
Selecciona Perfiles y luego elige un perfil.
Selecciona Bloqueo de perfil.
Introduce la contraseña de tu cuenta de Netflix.
Selecciona la casilla Requerir un PIN para acceder correspondiente al perfil seleccionado.
Para deshabilitar el uso de PIN, desmarca la casilla.
Ingresa 4 números para crear tu PIN de Bloqueo de perfil. Salvo que estés utilizando un dispositivo no admitido, tendrás que ingresar este PIN para abrir el perfil o reproducir los títulos que se hayan descargado desde allí.
Si quieres que se exija ingresar un PIN cada vez que se agrega un nuevo perfil a tu cuenta, selecciona la casilla Requerir PIN para agregar nuevos perfiles.
NOTA:Requerir PIN para agregar nuevos perfiles solo se puede seleccionar mientras se edita la configuración de Bloqueo de perfil para el perfil principal de la cuenta.
Seleccionar Guardar.
Es probable que el dispositivo requiera una actualización para que la nueva configuración entre en efecto. Para actualizar:
Cambia a otro perfil y luego vuelve al perfil inicial.
También puedes cerrar sesión en tu dispositivo y volver a iniciarla.
Cómo recuperar un PIN de bloqueo de perfil
Si olvidas tu PIN de Bloqueo de perfil, toca o selecciona ¿Olvidaste tu PIN? Si estás viendo Netflix en tu TV, ingresa la dirección web que aparece en un navegador web.
Para ver o editar el PIN de Bloqueo de perfil que se creó para el perfil, ingresa la contraseña de tu cuenta de Netflix."
40,Cómo establecer las clasificaciones por edad o bloquear títulos,"Cuando configuras una clasificación por edad para un perfil, ese perfil mostrará solamente las series, las películas y los juegos que tengan esa clasificación o una inferior. También puedes bloquear series o películas específicas en perfiles individuales.
Cómo configurar las clasificaciones por edad de un perfil
Cómo bloquear o desbloquear una serie o película
NOTA:Es probable que debas actualizar tu dispositivo para que se aplique la configuración actualizada. Para actualizar:
Cambia a otro perfil y luego vuelve al perfil inicial.
O cierra sesión en tu dispositivo y luego inicia sesión nuevamente."
41,Cómo crear un perfil para niños,"Para administrar los tipos de series, películas y juegos que pueden ver o jugar los niños y los demás integrantes de tu cuenta de Netflix, puedes crear perfiles individuales con clasificaciones por edad personalizadas. Ten en cuenta que los perfiles se pueden agregar en dispositivos fabricados después de 2013.
Ve a la página Administrar perfiles utilizando uno de los dispositivos indicados a continuación:
TV o dispositivo de streaming: ve a la pantalla de selección de perfiles y luego elige Agregar perfil+.
Teléfono o tablet con Android, iPhoneoiPad: en el área inferior derecha de la app de Netflix, toca Mi Netflix, toca tu perfil y luego toca Administrar perfiles.
Navegador web: ve a la página Administrar perfiles.
Selecciona Agregar perfil.
Agrega un nombre al perfil. Para usar la experiencia de Netflix para niños, selecciona Para niños, Perfil de niños o ¿Niños? según el dispositivo.
Los perfiles para niños tienen un logotipo en el ícono del perfil para facilitar su identificación.
Selecciona Continuar. El perfil nuevo aparecerá en la lista de perfiles de tu cuenta.
Si no puedes crear un perfil desde tu dispositivo o utilizando el navegador en un dispositivo móvil, visita netflix.com desde una computadora y completa los pasos anteriores.
NOTA: El perfil principal de tu cuenta de Netflix no puede configurarse como un perfil de niños.
También puedes editar un perfil secundario actual utilizando estos dispositivos.
Teléfono o tablet con Android, iPhone o iPad
Abre la app de Netflix.
En el área inferior derecha, toca Mi Netflix, toca tu perfil y luego toca Administrar perfiles.
En el perfil que deseas modificar, toca el ícono Editar.
Toca Restricciones de visualización.
Toca Clasificación por edad.
Introduce la contraseña de tu cuenta de Netflix.
Toca Perfil de niños y luego toca el ícono Atrás.
Toca Reiniciar app.
Navegador web
En un navegador web, ve a la página Administrar perfiles y selecciona el perfil que deseas modificar.
En Configuración por edad, selecciona Editar.
Introduce la contraseña de tu cuenta de Netflix.
Selecciona Mostrar la experiencia de Netflix para niños con títulos infantiles.
Selecciona Guardar.
Si eliges una clasificación por edad que exceda el nivel permitido para la experiencia de Netflix para niños, no se aplicará esta experiencia al perfil.
La experiencia de Netflix para niños
Un perfil con una experiencia de Netflix para niños:
Tiene un logotipo en el ícono del perfil para facilitar su identificación.
Tiene una apariencia simplificada.
Quita el acceso directo a la configuración de la cuenta.
Solo reproduce series y películas cuidadosamente seleccionadas para niños.
No cuenta con Juegos Netflix.
NOTA:Es probable que el dispositivo requiera una actualización para que la nueva configuración entre en efecto. Para actualizar:
Cambia a otro perfil y luego vuelve al perfil inicial.
O cierra sesión en tu dispositivo y luego inicia sesión nuevamente."
42,Juegos móviles de Netflix,"Nuevos juegos
Sin anuncios. Sin costo adicional. Sin compras en la app.
Acceso ilimitado a más de 80 juegos móviles exclusivos.
Incluidos con tu membresía de Netflix.
Descarga en teléfonos y tablets con Android, iPhones y iPads.
Juegos móviles disponibles



Acerca de los juegos móviles de Netflix
Requisitos para jugar
Búsqueda y descarga de juegos móviles
Solución de problemas generales
Artículos relacionados
Para los juegos a los que puedes jugar en la TV y desde un navegador web, consulta Juegos en TV y en Netflix.com.
Lineamientos de la comunidad"
43,Cómo buscar e instalar Juegos Netflix,"Para jugar, en primer lugar, deberás instalar el juego en tu dispositivo. Necesitarás:
Un dispositivo compatible:
Un teléfono o una tablet con Android 8.0 o una versión posterior
iPhone con iOS 15 o una versión posterior
iPad con iPadOS 15 o una versión posterior
Una suscripción activa a Netflix
Una conexión a internet para descargar e instalar el juego
Suficiente espacio de almacenamiento en tu dispositivo
NOTA:Algunos Juegos Netflix tienen requisitos adicionales. Consulta el artículo de un juego en particular para obtener más información.
Teléfonos y tablets con Android
iPhone, iPad y iPod touch
¿No encuentras el juego que estás buscando? Consulta No puedo encontrar un juego de Netflix."
44,¿Qué es Netflix?,"Netflix es un servicio de streaming por suscripción que les permite a sus miembros ver series y películas en un dispositivo con conexión a internet.
En función del plan que tengas, también puedes descargar series y películas en tu teléfono o tablet con Android, iPhone, iPad o dispositivo con Google Chromebook, y verlas sin conexión a internet.
Si ya eres miembro y quieres saber más acerca de cómo usar Netflix, visita Cómo usar Netflix.
Series y películas
El contenido de Netflix varía según la región y también puede variar en el tiempo. Puedes ver una variedad de documentales, películas, series, contenido original de Netflix galardonado y mucho más.
Cuanto más contenido ves, mejor puede Netflix recomendarte series y películas.
Dispositivos compatibles
Puedes ver Netflix a través de cualquier dispositivo con conexión a internet compatible que cuente con la app de Netflix, incluidos Smart TV, consolas de juegos, reproductores multimedia, decodificadores, smartphones y tablets. También puedes ver Netflix en tu computadora, en un navegador de internet. Para lograr el mejor rendimiento, puedes revisar los requisitos del sistema para obtener información sobre los navegadores compatibles y, además, consultar nuestras recomendaciones sobre la velocidad de conexión a internet.
NOTA:Puede haber un pequeño porcentaje de dispositivos que no sean compatibles con todos los planes.
¿Necesitas ayuda para la configuración? Busca en nuestro Centro de ayuda el fabricante del dispositivo que estás utilizando.
NOTA:La app de Netflix puede venir preinstalada en ciertos dispositivos; en otros casos, será necesario que la descargues. La funcionalidad de la app de Netflix puede variar de un dispositivo a otro.
Planes y precios
Cada plan de Netflix determina la cantidad de dispositivos en los que puedes ver contenido de Netflix al mismo tiempo y si puedes ver en alta definición (HD), alta definición completa (FHD) o definición ultra alta (UHD).
Puedes cambiar de plan o cancelar el servicio online en cualquier momento.
Comenzar
Para comenzar a ver Netflix:
Visita netflix.com/signup.
Elige tu plan.
Crea una cuenta introduciendo tu email y una contraseña.
Ingresa una forma de pago.
Como miembro de Netflix, se te cobrará una vez por mes en la fecha de suscripción."
45,Cómo pagar Netflix,"Elige un plan que se ajuste a tus necesidades y a tu presupuesto. Como miembro de Netflix, se te cobrará una vez por mes en la fecha de suscripción.
Existen varias opciones para pagar Netflix.
Tarjetas de crédito y débito
Aceptamos las siguientes tarjetas, que deben estar habilitadas para transacciones de comercio electrónico recurrentes.
NOTA: Es posible que tengas que habilitar tu tarjeta para transacciones internacionales.
Visa
MasterCard
American Express
Cabal
Diners
Naranja
Realizamos el cobro en moneda local, pero las instituciones financieras podrían convertir la moneda de transacciones internacionales a dólares estadounidenses. Por este motivo, podrías ver cargos de Netflix en dólares estadounidenses, en lugar de tu moneda local.
Tarjetas virtuales
Aceptamos tarjetas virtuales en ciertos mercados. Si se rechaza tu tarjeta virtual, elige otra forma de pago.
Tarjetas prepagas
Aceptamos tarjetas prepagas con los siguientes logotipos.
Visa
MasterCard
American Express"
46,Cómo usar Netflix,"¡Te damos la bienvenida a Netflix! A continuación, encontrarás información para empezar a disfrutar de Netflix. Si no encuentras el tema que te interesa, búscalo en nuestro Centro de ayuda. Si aún no te suscribiste y quieres obtener más información, visita ¿Qué es Netflix?
Cómo iniciar sesión
Una vez que hayas abierto la app o el sitio web de Netflix, selecciona Iniciar sesión para acceder a tu cuenta y comenzar a ver series y películas. Puedes iniciar sesión en cualquier dispositivo que admita Netflix y en muchos dispositivos compatibles. Si experimentas problemas, consulta los pasos para la solución de problemas en No se puede iniciar sesión en Netflix. Si no tienes la app de Netflix, visita Cómo descargar la app de Netflix.
Creación de perfiles
Puedes crear perfiles para otras personas que vivan contigo. Así, ellos también podrán disfrutar de una experiencia de Netflix a su medida. Tu cuenta puede tener hasta cinco perfiles individuales, y tendrás la posibilidad de establecer el nivel de clasificación por edad de cada una. Cada perfil tendrá recomendaciones propias basadas en sus clasificaciones y preferencias individuales.
Búsqueda de series y películas
Puedes buscar los títulos que te interesan o explorar las sugerencias de Netflix. Una vez que comiences a ver y calificar contenido, Netflix te mostrará recomendaciones. También podrás activar subtítulos, subtítulos ocultos o pistas de audio alternativo en varios títulos o explorar contenido que tenga subtítulos o audio en el idioma que prefieras.
Administración de la cuenta
Puedes actualizar la información de tu cuenta en cualquier momento. Para cambiar tu email, número de teléfono o plan, selecciona la opción Cuenta del menú de Netflix. Con Perfil y controles parentales, también puedes configurar los controles de contenido, como preferencias de reproducción, idioma y subtítulos. Los artículos mencionados a continuación pueden ser de gran utilidad a la hora de configurar tu cuenta.
Membresía y facturación
Cómo actualizar la información de tu cuenta de Netflix
Preguntas sobre facturación y pagos
Cómo usar las tarjetas de regalo de Netflix
Detalles del plan
Cómo cambiar tu plan
Cómo cancelar Netflix
Cómo reiniciar tu cuenta de Netflix
Configuración
Controles parentales en Netflix
Cómo descargar títulos para ver offline
Mi perfil
Cómo ver y descargar el historial de visualización
Cómo cambiar la apariencia de los subtítulos y los subtítulos ocultos
Cómo controlar cuántos datos usa Netflix
Cómo ver en streaming en distintos dispositivos
Si tienes más de un dispositivo compatible con Netflix, puedes cambiar de dispositivo cuando lo desees. El plan al que te hayas suscrito determinará la cantidad de pantallas en la que puedes ver Netflix al mismo tiempo, pero no limita la cantidad de dispositivos que puedes asociar con tu cuenta. Para ver Netflix en un dispositivo distinto, inicia sesión en ese nuevo dispositivo. Puedes obtener más información sobre los dispositivos compatibles con Netflix o consultar nuestro artículo sobre la descarga de la aplicación de Netflix como ayuda para configurar un nuevo dispositivo.
Cómo ver títulos desde cualquier lugar
Puedes acceder a Netflix desde más de 190 países de todo el mundo. Si sabes que no vas a tener conexión a internet, puedes descargar series y películas en Netflix. Si vas a ver contenido en otra latitud o zona horaria, consulta qué puedes esperar en los viajes o las mudanzas."
47,Planes y precios,"Netflix ofrece varios planes para que elijas el más adecuado para tus necesidades.
Como miembro de Netflix, se te cobrará mensualmente en la fecha de suscripción. Las cuentas de Netflix están pensadas para personas que viven juntas en el mismo hogar. Obtén más información sobre cómo compartir Netflix.
Suscríbete a Netflix hoy y selecciona entre varias opciones de pago. Puedes cambiar el plan o cancelarlo fácilmente en cualquier momento.
Planes de Netflix
Características
Básico
Juegos móviles, series y películas; sin publicidad y sin límite
Puedes ver contenido en 1 dispositivo compatible a la vez
Reproducción en 720p (HD)
Puedes descargar contenido en 1 dispositivo compatible a la vez
Estándar
Juegos móviles, series y películas; sin publicidad y sin límite
Puedes ver contenido en 2 dispositivos compatibles a la vez
Reproducción en 1080p (Full HD)
Puedes descargar contenido en 2 dispositivos compatibles a la vez
Opción para agregar 1 miembro extra que no viva contigo
Premium
Juegos móviles, series y películas; sin publicidad y sin límite
Puedes ver contenido en 4 dispositivos compatibles a la vez
Reproducción en 4K (Ultra HD) + HDR
Puedes descargar contenido en 6 dispositivos compatibles a la vez
Opción para agregar hasta 2 miembros extras que no vivan contigo
Audio espacial de Netflix
Estos precios se aplican a los nuevos miembros y entrarán gradualmente en vigencia para todos los miembros actuales. Los miembros actuales recibirán una notificación por email 1 mes antes de que el precio de su plan cambie, a menos que cambien de plan.
Precio (pesos argentinos)
Básico: ARS 4299 al mes
Estándar: ARS 7199 al mes (se puede agregar cupos de miembro extra* por ARS 2499 al mes cada uno)
Premium: ARS 9699 al mes (se puede agregar cupos de miembro extra* por ARS 2499 al mes cada uno)
NOTA:*Los miembros extras tienen su propia cuenta y contraseña, pero la membresía la paga la persona que los invitó a compartir su cuenta de Netflix. Tu plan determina la cantidad de cupos de miembro extra que puedes agregar.
Según el lugar en el que vivas, es posible que se te cobren impuestos, además del precio de la suscripción."
48,Miembros extras,"Cada cuenta de Netflix está pensada para compartirse entre personas que viven juntas en el mismo hogar. Las personas que no forman parte de tu hogar deberán usar su propia cuenta para ver Netflix. Obtén más información sobre cómo compartir Netflix.
Los titulares de las cuentas pueden comprar un cupo de miembro extra e invitar a personas que no formen parte de su hogar a usar Netflix. Consulta Planes y precios para conocer los precios de los miembros extras.
El miembro extra tendrá su propio perfil y su propia cuenta y contraseña, pero la membresía la pagará la persona que lo invitó a unirse.
Beneficios y diferencias del miembro extra
Beneficios
Diferencias
Administración de una cuenta de miembro extra
Si necesitas ayuda para agregar o administrar una cuenta de miembro extra, sigue los pasos a continuación según quién esté usando la cuenta.
Titular de la cuenta
Miembro extra"
49,Navegadores admitidos por Netflix y requisitos del sistema,"Puedes crear una cuenta y ver Netflix con un navegador web en tu computadora, en un iPad o en un casco Meta Quest.
Navegadores admitidos
Chrome: Descarga o aprende cómo actualizar.
Edge: Descarga o aprende cómo actualizar.
Firefox: Descarga o aprende cómo actualizar.
Opera: Descarga o aprende cómo actualizar.
Safari: Descarga o aprende cómo actualizar.
Si no puedes suscribirte, iniciar sesión o ver Netflix usando un navegador web, es posible que debas actualizar tu computadora, dispositivo móvil o navegador para cumplir con los requisitos de sistema y de versión del navegador de Netflix indicados a continuación.
Requisitos del sistema y de la versión del navegador
Verifica el sistema operativo (SO) y las versiones de navegador necesarias para ver Netflix en un navegador.
Windows
Mac
Chromebook
iPad
Meta Quest
Linux"
50,Cómo descargar la app de Netflix,"Netflix está disponible en varios dispositivos. La app de Netflix puede venir preinstalada; en otros casos, será necesario que la descargues y la instales.
Obtén la app de Netflix en un teléfono o una tablet
Para instalar Netflix, selecciona el vínculo correspondiente a tu dispositivo desde tu smartphone o tablet y sigue las indicaciones.
iPhone o iPad de Apple
Teléfonos y tablets con Android
Teléfonos y tablets Samsung Galaxy
Tablets Amazon Fire
Tablets con Windows
Obtén la app de Netflix en una computadora
La app de Netflix está disponible para ciertas computadoras. Para instalar Netflix, selecciona el vínculo correspondiente a tu computadora.
Si tienes una computadora con Windows 10 o una versión posterior, puedes descargar la app de Netflix desde Microsoft Store.
En Chromebook, se puede descargar la app de Netflix desde Google Play Store. Para obtener ayuda con la instalación de apps, visita el sitio de soporte de Google.
Para ver Netflix sin la app, visita netflix.com con un navegador web compatible.
Obtén la app de Netflix en una TV o un dispositivo de streaming para TV
En la mayoría de los dispositivos, Netflix viene como app preinstalada, a la que puedes acceder desde el menú principal o desde un botón de Netflix del control remoto. Si no encuentras la app de Netflix en el menú principal o en el control remoto, es posible que el dispositivo tenga una tienda de aplicaciones desde la cual puedas descargar la aplicación de Netflix. Si no encuentras la App Store o ves que no figura Netflix, comunícate con el fabricante del dispositivo para que te informe cómo puedes acceder a Netflix."
51,Cómo usar Netflix en tu teléfono o tablet con Android,"Aprende a configurar y cerrar sesión en tu cuenta de Netflix en tu dispositivo Android.
Configuración de Netflix
Características de Netflix
Netflix en HD
Netflix en HDR
Cerrar sesión en Netflix





¿Tienes algún problema? Puedes resolver un problema en tu teléfono o tablet con Android."
52,Cómo ver Netflix en tu TV,"Para ver Netflix en tu TV, necesitas un dispositivo con la app de Netflix. La app de Netflix está disponible en muchos de los siguientes dispositivos:
Smart TV
Decodificadores
Reproductores de Blu-ray
Consolas de juegos
Si tienes una TV lista para Netflix, verás la app de Netflix en el menú principal o la pantalla de inicio. Si la TV tiene una App Store, busca Netflix para ver si la app está disponible.
NOTA:A veces, es necesaria una actualización del dispositivo para poder encontrar e instalar la aplicación de Netflix. Si no sabes cómo actualizar el software del sistema de tu TV, consulta el manual del usuario o comunícate con el fabricante.
Si la TV no tiene la app, puedes usar un reproductor multimedia o un dispositivo móvil para ver Netflix en la TV."
53,Cómo usar Netflix en tu iPhone o iPad,"Conoce las características de Netflix en iPhone o iPad, incluido cómo configurar y cerrar sesión en tu cuenta.
Configuración de Netflix
Características de Netflix
Cerrar sesión en Netflix"
